,Open,High,Low,Close,Volume
2007.01.01,636.45000,638.05000,636.30000,636.85000,377,0
2007.01.02,636.85000,641.30000,636.30000,640.40000,3044,0
2007.01.03,640.40000,645.20000,625.55000,627.70000,7449,0
2007.01.04,627.80000,630.95000,620.80000,623.45000,7534,0
2007.01.05,623.15000,626.30000,602.20000,607.65000,8553,0
2007.01.06,607.65000,607.65000,607.65000,607.65000,1,0
2007.01.07,607.65000,623.00000,607.35000,608.55000,1690,0
2007.01.08,608.55000,610.75000,603.90000,609.90000,5076,0
2007.01.09,610.10000,615.95000,606.05000,613.45000,6329,0
2007.01.10,613.40000,613.60000,606.25000,611.95000,6199,0
2007.01.11,612.00000,616.45000,609.35000,611.95000,6264,0
2007.01.12,611.95000,627.32000,610.00000,626.50000,4242,0
2007.01.13,626.50000,626.50000,626.50000,626.50000,1,0
2007.01.14,626.50000,628.10000,626.05000,626.40000,380,0
2007.01.15,626.10000,627.75000,624.85000,626.45000,417,0
2007.01.16,626.25000,627.80000,622.60000,623.70000,1272,0
2007.01.17,623.55000,633.75000,620.20000,633.00000,4179,0
2007.01.18,632.95000,636.45000,626.65000,628.05000,4755,0
2007.01.19,628.10000,636.40000,627.35000,635.40000,3635,0
2007.01.20,635.40000,635.40000,635.40000,635.40000,1,0
2007.01.21,635.40000,636.05000,635.40000,635.70000,100,0
2007.01.22,635.70000,639.75000,632.04000,634.14000,4739,0
2007.01.23,634.19000,647.75000,633.50000,646.35000,4213,0
2007.01.24,646.40000,648.90000,639.00000,647.50000,4529,0
2007.01.25,647.45000,654.70000,645.25000,645.70000,5213,0
2007.01.26,645.75000,648.05000,640.90000,646.00000,5008,0
2007.01.27,646.00000,646.00000,646.00000,646.00000,8,0
2007.01.28,646.00000,648.20000,645.95000,647.95000,265,0
2007.01.29,647.65000,648.05000,640.90000,643.00000,4254,0
2007.01.30,642.70000,647.40000,641.00000,646.90000,4222,0
2007.01.31,646.95000,654.55000,642.15000,652.35000,4518,0
2007.02.01,652.45000,661.45000,651.90000,657.00000,5285,0
2007.02.02,657.05000,659.70000,643.10000,647.85000,4372,0
2007.02.03,647.85000,647.85000,647.85000,647.85000,1,0
2007.02.04,647.85000,648.65000,647.85000,648.50000,16,0
2007.02.05,648.55000,652.05000,646.05000,648.40000,3927,0
2007.02.06,648.30000,658.60000,648.15000,653.35000,5324,0
2007.02.07,653.45000,656.90000,650.40000,652.20000,5089,0
2007.02.08,652.20000,661.65000,648.00000,660.80000,6219,0
2007.02.09,660.80000,669.10000,657.20000,666.80000,6394,0
2007.02.10,666.80000,666.80000,666.80000,666.80000,1,0
2007.02.11,666.80000,668.70000,666.80000,667.45000,236,0
2007.02.12,667.35000,667.35000,659.90000,661.35000,5994,0
2007.02.13,661.30000,669.25000,660.85000,664.10000,5219,0
2007.02.14,664.25000,671.70000,663.95000,669.00000,5329,0
2007.02.15,668.95000,670.25000,662.15000,668.20000,5103,0
2007.02.16,668.15000,669.35000,662.60000,668.35000,4586,0
2007.02.18,668.70000,668.70000,668.00000,668.05000,17,0
2007.02.19,668.20000,673.15000,667.35000,671.10000,2382,0
2007.02.20,671.05000,671.75000,655.70000,659.75000,6409,0
2007.02.21,659.35000,682.44000,657.04000,677.94000,7730,0
2007.02.22,677.89000,680.95000,674.90000,675.25000,5752,0
2007.02.23,675.35000,688.20000,672.70000,682.20000,6493,0
2007.02.25,682.40000,684.00000,680.95000,683.20000,247,0
2007.02.26,683.25000,688.05000,682.35000,686.60000,6274,0
2007.02.27,686.70000,688.95000,658.75000,665.35000,9683,0
2007.02.28,665.30000,677.50000,661.05000,673.85000,10010,0
2007.03.01,673.80000,677.40000,649.65000,655.65000,8717,0
2007.03.02,656.15000,664.05000,639.55000,642.15000,8656,0
2007.03.04,642.20000,644.75000,642.00000,642.90000,458,0
2007.03.05,642.75000,644.85000,632.35000,632.75000,9571,0
2007.03.06,632.80000,647.80000,632.65000,647.65000,8230,0
2007.03.07,647.45000,651.70000,642.65000,647.60000,8006,0
2007.03.08,647.75000,655.75000,647.60000,652.35000,6931,0
2007.03.09,652.25000,657.90000,647.45000,649.15000,5735,0
2007.03.11,649.10000,650.55000,648.40000,649.35000,332,0
2007.03.12,649.30000,653.85000,645.60000,649.20000,6170,0
2007.03.13,649.25000,652.15000,641.55000,643.15000,6004,0
2007.03.14,643.00000,645.90000,636.80000,644.55000,7099,0
2007.03.15,644.60000,650.15000,643.70000,648.30000,5455,0
2007.03.16,648.55000,655.35000,645.90000,653.10000,5158,0
2007.03.18,652.60000,655.05000,651.85000,654.15000,382,0
2007.03.19,654.10000,656.20000,651.95000,654.60000,5845,0
2007.03.20,654.65000,660.85000,652.60000,658.60000,5672,0
2007.03.21,658.65000,664.90000,656.90000,663.75000,5068,0
2007.03.22,663.70000,666.55000,661.90000,663.40000,4570,0
2007.03.23,663.35000,664.55000,654.95000,657.15000,4795,0
2007.03.25,656.80000,658.10000,656.80000,658.05000,160,0
2007.03.26,658.10000,665.05000,657.85000,663.60000,4706,0
2007.03.27,663.50000,668.95000,661.65000,665.95000,5490,0
2007.03.28,665.90000,669.20000,663.35000,665.30000,4546,0
2007.03.29,665.25000,665.85000,655.30000,661.25000,4504,0
2007.03.30,661.05000,667.60000,660.80000,663.45000,4600,0
2007.04.01,665.45000,665.75000,665.15000,665.65000,77,0
2007.04.02,665.70000,667.55000,656.25000,663.30000,5512,0
