,Open,High,Low,Close,Volume
2007.01.01 03:00,636.45000,638.05000,636.30000,636.85000,3770
2007.01.02 03:00,636.85000,641.30000,636.30000,640.40000,30440
2007.01.03 03:00,640.40000,645.20000,625.55000,627.70000,74490
2007.01.04 03:00,627.80000,630.95000,620.80000,623.45000,75340
2007.01.05 03:00,623.15000,626.30000,602.20000,607.65000,85530
2007.01.06 03:00,607.65000,607.65000,607.65000,607.65000,10
2007.01.07 03:00,607.65000,623.00000,607.35000,608.55000,16900
2007.01.08 03:00,608.55000,610.75000,603.90000,609.90000,50760
2007.01.09 03:00,610.10000,615.95000,606.05000,613.45000,63290
2007.01.10 03:00,613.40000,613.60000,606.25000,611.95000,61990
2007.01.11 03:00,612.00000,616.45000,609.35000,611.95000,62640
2007.01.12 03:00,611.95000,627.32000,610.00000,626.50000,42420
2007.01.13 03:00,626.50000,626.50000,626.50000,626.50000,10
2007.01.14 03:00,626.50000,628.10000,626.05000,626.40000,3800
2007.01.15 03:00,626.10000,627.75000,624.85000,626.45000,4170
2007.01.16 03:00,626.25000,627.80000,622.60000,623.70000,12720
2007.01.17 03:00,623.55000,633.75000,620.20000,633.00000,41790
2007.01.18 03:00,632.95000,636.45000,626.65000,628.05000,47550
2007.01.19 03:00,628.10000,636.40000,627.35000,635.40000,36350
2007.01.20 03:00,635.40000,635.40000,635.40000,635.40000,10
2007.01.21 03:00,635.40000,636.05000,635.40000,635.70000,1000
2007.01.22 03:00,635.70000,639.75000,632.04000,634.14000,47390
2007.01.23 03:00,634.19000,647.75000,633.50000,646.35000,42130
2007.01.24 03:00,646.40000,648.90000,639.00000,647.50000,45290
2007.01.25 03:00,647.45000,654.70000,645.25000,645.70000,52130
2007.01.26 03:00,645.75000,648.05000,640.90000,646.00000,50080
2007.01.27 03:00,646.00000,646.00000,646.00000,646.00000,80
2007.01.28 03:00,646.00000,648.20000,645.95000,647.95000,2650
2007.01.29 03:00,647.65000,648.05000,640.90000,643.00000,42540
2007.01.30 03:00,642.70000,647.40000,641.00000,646.90000,42220
2007.01.31 03:00,646.95000,654.55000,642.15000,652.35000,45180
2007.02.01 03:00,652.45000,661.45000,651.90000,657.00000,52850
2007.02.02 03:00,657.05000,659.70000,643.10000,647.85000,43720
2007.02.03 03:00,647.85000,647.85000,647.85000,647.85000,10
2007.02.04 03:00,647.85000,648.65000,647.85000,648.50000,160
2007.02.05 03:00,648.55000,652.05000,646.05000,648.40000,39270
2007.02.06 03:00,648.30000,658.60000,648.15000,653.35000,53240
2007.02.07 03:00,653.45000,656.90000,650.40000,652.20000,50890
2007.02.08 03:00,652.20000,661.65000,648.00000,660.80000,62190
2007.02.09 03:00,660.80000,669.10000,657.20000,666.80000,63940
2007.02.10 03:00,666.80000,666.80000,666.80000,666.80000,10
2007.02.11 03:00,666.80000,668.70000,666.80000,667.45000,2360
2007.02.12 03:00,667.35000,667.35000,659.90000,661.35000,59940
2007.02.13 03:00,661.30000,669.25000,660.85000,664.10000,52190
2007.02.14 03:00,664.25000,671.70000,663.95000,669.00000,53290
2007.02.15 03:00,668.95000,670.25000,662.15000,668.20000,51030
2007.02.16 03:00,668.15000,669.35000,662.60000,668.35000,45860
2007.02.18 03:00,668.70000,668.70000,668.00000,668.05000,170
2007.02.19 03:00,668.20000,673.15000,667.35000,671.10000,23820
2007.02.20 03:00,671.05000,671.75000,655.70000,659.75000,64090
2007.02.21 03:00,659.35000,682.44000,657.04000,677.94000,77300
2007.02.22 03:00,677.89000,680.95000,674.90000,675.25000,57520
2007.02.23 03:00,675.35000,688.20000,672.70000,682.20000,64930
2007.02.25 03:00,682.40000,684.00000,680.95000,683.20000,2470
2007.02.26 03:00,683.25000,688.05000,682.35000,686.60000,62740
2007.02.27 03:00,686.70000,688.95000,658.75000,665.35000,96830
2007.02.28 03:00,665.30000,677.50000,661.05000,673.85000,100100
2007.03.01 03:00,673.80000,677.40000,649.65000,655.65000,87170
2007.03.02 03:00,656.15000,664.05000,639.55000,642.15000,86560
2007.03.04 03:00,642.20000,644.75000,642.00000,642.90000,4580
2007.03.05 03:00,642.75000,644.85000,632.35000,632.75000,95710
2007.03.06 03:00,632.80000,647.80000,632.65000,647.65000,82300
2007.03.07 03:00,647.45000,651.70000,642.65000,647.60000,80060
2007.03.08 03:00,647.75000,655.75000,647.60000,652.35000,69310
2007.03.09 03:00,652.25000,657.90000,647.45000,649.15000,57350
2007.03.11 03:00,649.10000,650.55000,648.40000,649.35000,3320
2007.03.12 03:00,649.30000,653.85000,645.60000,649.20000,61700
2007.03.13 03:00,649.25000,652.15000,641.55000,643.15000,60040
2007.03.14 03:00,643.00000,645.90000,636.80000,644.55000,70990
2007.03.15 03:00,644.60000,650.15000,643.70000,648.30000,54550
2007.03.16 03:00,648.55000,655.35000,645.90000,653.10000,51580
2007.03.18 03:00,652.60000,655.05000,651.85000,654.15000,3820
2007.03.19 03:00,654.10000,656.20000,651.95000,654.60000,58450
2007.03.20 03:00,654.65000,660.85000,652.60000,658.60000,56720
2007.03.21 03:00,658.65000,664.90000,656.90000,663.75000,50680
2007.03.22 03:00,663.70000,666.55000,661.90000,663.40000,45700
2007.03.23 03:00,663.35000,664.55000,654.95000,657.15000,47950
2007.03.25 03:00,656.80000,658.10000,656.80000,658.05000,1600
2007.03.26 03:00,658.10000,665.05000,657.85000,663.60000,47060
2007.03.27 03:00,663.50000,668.95000,661.65000,665.95000,54900
2007.03.28 03:00,665.90000,669.20000,663.35000,665.30000,45460
2007.03.29 03:00,665.25000,665.85000,655.30000,661.25000,45040
2007.03.30 03:00,661.05000,667.60000,660.80000,663.45000,46000
2007.04.01 03:00,665.45000,665.75000,665.15000,665.65000,770
2007.04.02 03:00,665.70000,667.55000,656.25000,663.30000,55120
2007.04.03 03:00,663.25000,667.40000,661.80000,663.60000,62620
2007.04.04 03:00,663.65000,675.65000,663.60000,674.05000,59170
2007.04.05 03:00,674.10000,675.35000,671.50000,674.65000,33070
2007.04.06 03:00,674.25000,674.35000,673.35000,673.35000,80
2007.04.08 03:00,673.10000,673.10000,671.50000,672.60000,1290
2007.04.09 03:00,672.55000,677.65000,670.55000,672.25000,52920
2007.04.10 03:00,672.30000,681.45000,671.20000,677.30000,46170
2007.04.11 03:00,677.25000,680.65000,674.25000,677.40000,57370
2007.04.12 03:00,677.45000,679.65000,671.30000,676.95000,41150
2007.04.13 03:00,677.05000,685.55000,676.30000,684.85000,42830
2007.04.15 03:00,684.90000,687.45000,684.90000,685.30000,3870
2007.04.16 03:00,685.25000,691.10000,682.95000,690.35000,52610
2007.04.17 03:00,690.40000,690.70000,685.95000,687.45000,42230
2007.04.18 03:00,687.40000,690.80000,685.55000,689.75000,53450
2007.04.19 03:00,689.50000,691.50000,679.00000,684.00000,63100
2007.04.20 03:00,683.90000,693.50000,683.20000,691.65000,41910
2007.04.22 03:00,691.85000,693.50000,691.70000,692.55000,3840
2007.04.23 03:00,692.60000,693.55000,686.80000,689.80000,69050
2007.04.24 03:00,689.65000,691.70000,681.20000,683.65000,73490
2007.04.25 03:00,683.70000,686.65000,682.00000,684.90000,59200
